Sys,Name,Star,Size(Rs/Rj),Distance(ly)/Orbit(AU),Texture,Right ascension,Declination,Apparent magnitude,Spectral class,Spectral type,(Confirmed)Planets,Day(day),Year(a),Inclination(km),detection,BinOrTri/Mass(Me),Info_sys,Info_p
Sun,Sun,1,1,0,textures/sol.png,00.00.0,+00.00.0,-26.74,G,G2V,8,-,-,-,-,,0,0
,Mercury,0,0.034901518,0.387098,textures/mercury.jpg,-,-,-,-,-,-,58.646,0.240846,0,detection,,,
,Venus,0,0.086567207,0.723327,textures/venus.jpg,-,-,-,-,-,-,-243.0185,0.615198,177.36,detection,,,
,Earth,0,0.091130151,1,textures/earth.jpg,-,-,-,-,-,-,1,1,23.45,live,,,
,Mars,0,0.048633262,1.523679,textures/mars.png,-,-,-,-,-,-,1.025957,1.8808,25.19,detection,,,
,Jupiter,0,1,5.204267,textures/jupiter.jpg,-,-,-,-,-,-,0.413541667,11.8618,3.13,detection,,,
,Saturn,0,0.832944744,9.5820172,textures/saturn.png,-,-,-,-,-,-,0.440416667,29.4571,26.73,detection,,,
,Uranus,0,0.362761225,19.22941195,textures/uranus.jpg,-,-,-,-,-,-,-0.71833,84.323326,97.77,detection,,,
,Neptune,0,0.352190642,30.10366151,textures/neptune.jpg,-,-,-,-,-,-,0.6713,164.79,28.32,detection,,,
Tau Ceti,Tau Ceti,1,0.793,12,textures/g.png,01.44.05.13,-15.56.22.4,3.49,G,G8V,5,-,-,-,-,,1,1
,b,0,,0.105,textures/mercury.jpg,-,-,-,-,-,-,,0.038260274,,unknown,2,,
,c,0,,0.195,textures/mercury.jpg,-,-,-,-,-,-,,0.096882192,,unknown,3.1,,
,d,0,,0.374,textures/venuslike.jpg,-,-,-,-,-,-,,0.257835616,,unknown,3.6,,
,e,0,,0.552,textures/venuslike.jpg,-,-,-,-,-,-,,0.46060274,,unknown,4.3,,
,f,0,,1.35,textures/exo-class5.jpg,-,-,-,-,-,-,,1.75890411,,unknown,6.67,,
Gliese 876,Gliese 876,1,0.36,15,textures/m.png,22.53.16.73,-14.15.49.3,10.17,M,M4V,4,-,-,-,-,,1,1
,b,0,,0.208317,textures/exo-class2.jpg,-,-,-,-,-,-,,0.16744274,59,Radial Velocity,618.7571608,,
,c,0,,0.12959,textures/exo-class2.jpg,-,-,-,-,-,-,,0.082433151,59,Radial Velocity,194.5571594,,
,d,0,,0.020807,textures/venuslike.jpg,-,-,-,-,-,-,,0.005308986,59,Radial Velocity,5.853959511,,
,e,0,,0.3343,textures/exo-class1.jpg,-,-,-,-,-,-,,0.340438356,59,Radial Velocity,12.46762785,,
Gliese 581,Gliese 581,1,0.299,20,textures/m.png,15.19.26.83,-07.43.20.2,10.56,M,M3V,4,-,-,-,-,,1,1
,b,0,,0.04,textures/venuslike.jpg,-,-,-,-,-,-,,0.014708877,,Radial Velocity,15.85965276,,
,c,0,,0.07,textures/asteroid.jpg,-,-,-,-,-,-,,0.035422466,,Radial Velocity,5.331564347,,
,d,0,,0.22,textures/asteroid.jpg,-,-,-,-,-,-,,0.183013699,,Radial Velocity,6.073602571,,
,e,0,,0.03,textures/asteroid.jpg,-,-,-,-,-,-,,0.008628548,,Radial Velocity,1.949665072,,
Gliese 667,Gliese 667 C,1,0.42,21,textures/m.png,17.18.57.16,-34.59.23.14,10.2,M,M1.5V,5,-,-,-,-,trinary,1,1
b,b,0,,0.0505,textures/exo-class3.jpg,-,-,-,-,-,-,,0.019727123,30,Radial Velocity,5.4616938,,
c,c,0,,0.125,textures/exo-class2.jpg,-,-,-,-,-,-,,0.07709589,30,Radial Velocity,4.259994,,
d,d,0,,0.276,textures/exo-class2.jpg,-,-,-,-,-,-,,0.250986301,30,Radial Velocity,6.930438,,
e,e,0,,0.213,textures/exo-class2.jpg,-,-,-,-,-,-,,0.170520548,30,Radial Velocity,2.702235,,
f,f,0,,0.156,textures/exo-class2.jpg,-,-,-,-,-,-,,0.106920548,30,Radial Velocity,2.702235,,
g,g,0,,0.549,textures/exo-class2.jpg,-,-,-,-,-,-,,0.701917808,30,Radial Velocity,4.609695,,
61 Virginis,61 Virginis,1,0.978547,28,textures/g.png,13.18.24.31,-18.18.40.3,4.74,G,G5V,3,,-,-,-,,1,1
b,b,0,,0.050201,textures/asteroid.jpg,-,-,-,-,-,-,,0.011547945,30,Radial Velocity,5.0864,,
c,c,0,,0.2175,textures/venuslike.jpg,-,-,-,-,-,-,,0.104167123,30,Radial Velocity,18.21567,,
d,d,0,,0.476,textures/venuslike.jpg,-,-,-,-,-,-,,0.337013699,30,Radial Velocity,22.8888,,
55 Cancri,55 Cancri,1,0.943,40,textures/g.png,08.52.35.81,+28.19.50.9,5.95,G,G8V,5,-,-,-,-,,1,1
b,b,0,,0.1134,textures/exo-class2.jpg,-,-,-,-,-,-,,0.040139726,,Radial Velocity,254.7207974,,
c,c,0,,0.237,textures/exo-class2.jpg,-,-,-,-,-,-,,0.121589041,,Radial Velocity,52.29926594,,
d,d,0,,5.47,textures/exo-class2.jpg,-,-,-,-,-,-,,13.44931507,,Radial Velocity,1126.504157,,
e,e,0,0.194,0.01583,textures/exo-class2.jpg,-,-,-,-,-,-,,0.002017934,82.5,Radial Velocity,8.379902375,,
f,f,0,,0.77,textures/exo-class2.jpg,-,-,-,-,-,-,,0.715616438,,Radial Velocity,54.94318233,,
HD 69830,HD 69830,1,0.921634,41,textures/k.png,08.18.23.95,-12.37.55.8,5.95,K,K0V,3,-,-,-,-,,1,1
b,b,0,,0.0785,textures/venuslike.jpg,-,-,-,-,-,-,,0.023745205,,Radial Velocity,10.05851437,,
c,c,0,,0.186,textures/venuslike.jpg,-,-,-,-,-,-,,0.086465753,,Radial Velocity,11.68640284,,
d,d,0,,0.63,textures/venuslike.jpg,-,-,-,-,-,-,,0.539726027,,Radial Velocity,17.90492978,,
HD 40307,HD 40307,1,0.839223,42,textures/k.png,05.54.04.24,-60.01.24.5,7.17,K,K2.5V,6,-,-,-,-,,1,1
b,b,0,,0.0468,textures/asteroid.jpg,-,-,-,-,-,-,,0.011814521,,Radial Velocity,4.00563,,
c,c,0,,0.0799,textures/venuslike.jpg,-,-,-,-,-,-,,0.026351781,,Radial Velocity,6.61247,,
d,d,0,,0.1321,textures/venuslike.jpg,-,-,-,-,-,-,,0.055978082,,Radial Velocity,9.50542,,
e,e,0,,0.1886,textures/exo-class2.jpg,-,-,-,-,-,-,,0.094849315,,Radial Velocity,3.49698,,
f,f,0,,0.247,textures/exo-class2.jpg,-,-,-,-,-,-,,0.141808219,,Radial Velocity,5.21367,,
g,g,0,,0.6,textures/exo-class2.jpg,-,-,-,-,-,-,,0.541917808,,Radial Velocity,7.08933,,
Upsilon Andromedae,Upsilon Andromedae A,1,1.383,44,textures/f.png,01.36.47.84,+41.24.19.7,4.09,F,F8V+M4.5V,4,-,-,-,-,binary,1,1
b,b,0,,0.059222,textures/exo-class4.jpg,-,-,-,-,-,-,,0.012649405,,Radial Velocity,197.098,,
c,c,0,,0.827774,textures/browndwarf.jpg,-,-,-,-,-,-,,0.660980822,,Radial Velocity,572.22,,
d,d,0,,2.51329,textures/exo-class2.jpg,-,-,-,-,-,-,,3.497150685,,Radial Velocity,3238.401,,
e,e,0,,5.24558,textures/exo-class1.jpg,-,-,-,-,-,-,,10.54482192,,Radial Velocity,336.6561,,
47 Ursae Majoris,47 Ursae Majoris,1,1.11869,46,textures/g.png,10.59.27.97,+40.25.48.9,5.1,G,G0V,3,-,-,-,-,,1,1
b,b,0,,2.1,textures/exo-class2.jpg,-,-,-,-,-,-,,2.953424658,,Radial Velocity,804.287,,
c,c,0,,3.6,textures/exo-class1.jpg,-,-,-,-,-,-,,6.550684932,,Radial Velocity,171.666,,
d,d,0,,11.6,textures/exo-class1.jpg,-,-,-,-,-,-,,38.36164384,,Radial Velocity,521.356,,
Gliese 163,Gliese 163,1,,49,textures/m.png,04.09.16,-53.22.25,11.8,M,M3.5V,3,-,-,-,-,,1,1
b,b,0,,0.061,textures/exo-class2.jpg,-,-,-,-,-,-,,0.023646575,,Radial Velocity,3368.856081,,
c,c,0,,0.13,textures/exo-class2.jpg,-,-,-,-,-,-,,0.070136986,,Radial Velocity,2161.152958,,
d,d,0,,1,textures/exo-class2.jpg,-,-,-,-,-,-,,1.652054795,,Radial Velocity,9343.808376,,
Mu Arae,Mu Arae,1,1.25035,51,textures/g.png,17.44.08.70,-51.50.02.6,5.15,G,G3IV-V,4,-,-,-,-,,1,1
b,b,0,,1.5273,textures/exo-class2.jpg,-,-,-,-,-,-,,1.761160133,,Radial Velocity,554.7552516,,
c,c,0,,5.34057,textures/venuslike.jpg,-,-,-,-,-,-,,11.51509878,,Radial Velocity,600.3778262,,
d,d,0,,0.0927843,textures/exo-class2.jpg,-,-,-,-,-,-,,0.026389612,,Radial Velocity,10.99241848,,
e,e,0,,0.93961,textures/exo-class1.jpg,-,-,-,-,-,-,,0.850257694,,Radial Velocity,172.676757,,
HD 113538,HD 113538,1,,52,textures/k.png,13.04.57.48,-52.26.34.5,9.1,K,K9V,2,-,-,-,-,,1,1
b,b,0,,0.71,textures/exo-class2.jpg,-,-,-,-,-,-,,0.721369863,,Radial Velocity,85.833,,
c,c,0,,2.43,textures/exo-class1.jpg,-,-,-,-,-,-,,4.539726027,,Radial Velocity,225.709,,
Gliese 777,Gliese 777 A,1,1.07528,52,textures/g.png,20.03.37.41,+29.53.48.5,5.71,G,G6IV,2,-,-,-,-,binary,1,1
b,b,0,,3.97285,textures/exo-class1.jpg,-,-,-,-,-,-,,7.98110653,,,487.8866365,,
c,c,0,,0.129216,textures/venuslike.jpg,-,-,-,-,-,-,,0.046848439,,,18.74285328,,
Gliese 676,Gliese 676 A,1,,53,textures/m.png,17.30.11.2042,-51.38.13.116,9.59,M,M0V,4,-,-,-,-,binary,1,1
b,b,0,,1.8,textures/exo-class1.jpg,-,-,-,-,-,-,,2.877534247,,Radial Velocity,1573.605,,
c,c,0,,,textures/exo-class2.jpg,,,,,,,,,,Radial Velocity,953.7,,
d,d,0,,0.0413,textures/exo-class2.jpg,-,-,-,-,-,-,,0.009863014,,Radial Velocity,4.4506,,
e,e,0,,0.187,textures/exo-class2.jpg,-,-,-,-,-,-,,0.09690411,,Radial Velocity,11.4444,,
HD 128311,HD 128311,1,0.58322,54,textures/k.png,14.36.00.56,+09.44.47.5,7.51,K,K0V,2,-,-,-,-,,1,1
b,b,0,,1.086,textures/exo-class1.jpg,-,-,-,-,-,-,,1.244383562,,Radial Velocity,463.1223662,,
c,c,0,,1.745,textures/exo-class1.jpg,-,-,-,-,-,-,,2.530958904,,Radial Velocity,1032.420906,,
14 Herculis,14 Herculis,1,0.912364,57,textures/k.png,16.10.24.31,+43.49.03.5,6.67,K,K0V,2,-,-,-,-,,1,1
b,b,0,,2.77,textures/exo-class1.jpg,-,-,-,-,-,-,,4.858630137,,Radial Velocity,1657.369134,,
c,c,0,,,textures/exo-class1.jpg,,,,,,,,,,,,,
HD 217107,HD 217107,1,1.5,65,textures/g.png,22.58.15.54,-02.23.43.4,6.18,G,G8IV,2,-,-,-,-,,1,1
b,b,0,,0.0748,textures/exo-class4.jpg,-,-,-,-,-,-,,0.019525523,,Radial Velocity,445.2992106,,
c,c,0,,5.32,textures/exo-class1.jpg,-,-,-,-,-,-,,11.69863014,,Radial Velocity,831.2366345,,
HD 215152,HD 215152,1,,70,textures/g.png,22.43.21,-06.24.03,8.13,G,G8IV,2,-,-,-,-,,0,0
b,b,0,,0.0652,textures/exo-class2.jpg,-,-,-,-,-,-,,0.019952055,,Radial Velocity,2.76573,,
c,c,0,,0.0852,textures/exo-class2.jpg,-,-,-,-,-,-,,0.029769863,,Radial Velocity,3.08363,,
HD 1461,HD 1461,1,1.12553,76,textures/g.png,00.18.41.62,-08.03.09.5,6.47,G,G0V,2,-,-,-,-,,1,1
b,b,0,,0.063438,textures/venuslike.jpg,-,-,-,-,-,-,,0.015815616,,Radial Velocity,7.59781,,
c,c,0,,0.1117,textures/venuslike.jpg,-,-,-,-,-,-,,0.037,,Radial Velocity,5.91294,,
HD 134060,HD 134060,1,,79,textures/g.png,15.10.44.97,-61.25.20.3,6.29,G,G3IV,2,-,-,-,-,,1,1
b,b,0,,0.0444,textures/exo-class2.jpg,-,-,-,-,-,-,,0.008958904,,Radial Velocity,11.15829,,
c,c,0,,2.2263,textures/exo-class2.jpg,-,-,-,-,-,-,,3.180547945,,Radial Velocity,47.90753,,
HD 60532,HD 60532,1,2.35065,83,textures/f.png,07.34.03.18,-22.17.45.8,4.46,F,F6IV-V,2,-,-,-,-,,1,1
b,b,0,,0.77,textures/exo-class3.jpg,-,-,-,-,-,-,,0.552958904,20,Radial Velocity,328.8766295,,
