# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
11 Com b,19.4,6167.26,[1.5],,,326.03,[0.32],1.29,[0.05],0.231,[0.005],,,0.011664,94.8,[1.5],2452899.6,[1.6],,,,,,,,,,,,,,,detected by radial velocity,,11 Com,20:43.0,+17:47:34,4.74,,,,,110.6,-0.35,2.7,19,G8 III,,4742
11 UMi b,10.5,3337.95,[2.47],,,516.22,[3.25],1.54,[0.07],0.08,[0.03],,,0.012887,117.63,[21.06],2452861.05,[2.06],,,,,,,,,,,,,,,detected by radial velocity,,11 UMi,17:06.0,+71:49:26,5.02,,,,,119.5,0.04,1.8,24.08,K4III,1.56,4340
14 And b,5.33,1694.407,[0.57],,[],185.84,[0.23],0.83,[],0,,,[],0.010864,,,2861.4,[1.5],,[],,[],,,,,,,,,,,detected by radial velocity,,14 And,31:17.0,+39:14:10,5.22,4.1,3.02,2.61,2.33,76.4,-0.24,2.2,11,K0III,,4813
14 Her b,4.64,1475.056,[0.19],,,1773.4,[2.5],2.77,[0.05],0.369,[0.005],,,0.153039,22.6,[0.9],51372.7,[3.6],,,,,,,,,,,,,,,detected by radial velocity,,14 Her,10:23.0,+43:49:18,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311
16 Cyg B b,1.68,534.072,[0.07],,[],799.5,[0.6],1.68,[0.03],0.689,[0.011],,[],0.078468,83.4,[2.1],50539.3,[1.6],,[],,[],,,,,,,,,,,detected by radial velocity,,16 Cyg B,41:51.0,+50:31:03,6.2,,,,,21.41,0.08,1.01,0.98,G2.5 V,8,5766
18 Del b,10.3,3274.37,,,,993.3,[3.2],2.6,,0.08,[0.01],,,0.035568,166.1,[6.5],1672,[18.0],,,,,,,,,,,,,,,detected by radial velocity,,18 Del,58:26.0,+10:50:21,5.52,,4.03,3.44,3.67,73.1,-0.052,2.3,8.5,G6III,,4979
1RXS1609 b,14,4450.6,"[3.0, 2.0]",1.7,,,,330,[0.0],,,,,2.275862,,,,,,,,,,,,,,,,,,,detected by imaging,"H2O, CO, H2",1RXS1609,09:30.0,-21:04:58,,10.99,9.82,9.12,8.92,145,,0.73,1.35,K7V,0.011,4060
24 Sex b,1.99,632.621,"[0.38, 0.26]",,,452.8,"[4.5, 4.5]",1.333,"[0.009, 0.009]",0.09,"[0.06, 0.06]",,,0.017821,9.2,"[165.4, 165.4]",2454762,"[172.3, 172.3]",,,,,,,,,,,,,,,detected by radial velocity,,24 Sex,23:28.0,+00:54:08,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098
24 Sex c,0.86,273.394,"[0.22, 0.35]",,,883,"[14.0, 14.0]",2.08,"[0.02, 0.02]",0.29,"[0.09, 0.09]",,,0.027807,220.5,"[320.9, 320.9]",2454930,"[96.5, 96.5]",,,,,,,,,,,,,,,detected by radial velocity,,24 Sex,23:28.0,+00:54:08,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098
2M 0103(AB) b,13,4132.7,[1.0],,[],,[],84,[],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by imaging,,2M 0103(AB),03:36.0,-55:15:56,,,7.5,,,47.2,,0.4,,M,0.03,
2M 0122-2439 b,13,4132.7,[1.0],,[],,[],52,[6.0],,[],,[],,,[],,[],,[],,[],,,,,,,,1380,,,detected by imaging,,2M 0122-2439,22:51.0,-24:36:51,,,,,,36,,0.4,,M3.5,0.12,
