NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,HD,I,OTHERNAME
,mjupiter,au,day,,deg,jd,m/s,,,,,,deg,
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.3304,993,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,,84.32,
Kepler-50 b,,0.0825598,7.8125124,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,KOI-262
NN Ser d,0.642621,3.70596,2605,0.05,152,2458029,9.5,Horner 2012,http://adsabs.harvard.edu/abs/2012MNRAS.425..749H,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B,,,2MASS J15525613+1254446
Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,2454966.34,3.72,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,86.5,KOI-70
HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,2455407.9088,91.2,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,,85,WASP-40
HD 116029 b,1.9075,1.64869,670,0,40,2455220,36.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,116029,,2MASS J13203954+2438555
HD 219828 b,0.0622185,0.0515012,3.8334999,0,0,2453898.629,7,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,219828,,
Kepler-11 c,0.04247,0.106909,13.0241,0.0256125,51.3402,2455582.016,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,89.59,KOI-157
HD 1237 b,3.3748,0.494668,133.71001,0.511,290.7,2451545.86,167,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,1237,,GJ 3021
WASP-21 b,0.300201,0.0521087,4.322482,0,90,2454743.0419,37.2,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,,88.75,2MASS J23095825+1823459
HD 4308 b,0.0477376,0.119192,15.56,0,359,2453314.7,4.07,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,4308,,
WASP-25 b,0.578118,0.0473714,3.764825,0,90,2455274.99649,75.5,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,,88,2MASS J13012637-2731199
HD 24040 b,4.02189,4.92406,3668,0.04,154,2454308,47.4,Boisse 2012,http://adsabs.harvard.edu/abs/2012A%26A...545A..55B,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,24040,,
HD 200964 b,1.94873,1.64347,613.8,0.04,288,2454900,34.5,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,200964,,2MASS J21063983+0348110
HD 147018 b,2.12711,0.238855,44.236,0.4686,335.97,2454459.49,145.33,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,147018,,
HD 218566 b,0.212872,0.687282,225.7,0.3,36,2450360,8.3,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,218566,,2MASS J23091067-0215385
HD 45364 b,0.187149,0.68156,226.93,0.1684,162.58,2453535.817118141,7.22,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,45364,,
HD 141937 b,9.4752,1.50087,653.21997,0.41,187.72,2451847.38,234.5,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,141937,,
HD 156668 b,0.0130582,0.0499846,4.6455,0,90,2454718.57,1.89,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...73H,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...73H,156668,,
MOA-2009-BLG-387L b,,1.76808,1970,,,,,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B,,,
Kepler-32 f,,0.0130732,0.74296,0,90,2454965.54,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,,,KOI-952
GJ 649 b,0.325341,1.13179,598.3,0.3,352,2452876,12.4,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..149J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..149J,,,
HD 132406 b,5.60495,1.98227,974,0.34,214,2453474,115,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,132406,,
