NAME,MASS
,mearth
11 Com b,5125.873436
11 UMi b,3523.728116
14 And b,1488.598979
14 Her b,1657.369134
16 Cyg B b,521.2097082
18 Del b,3272.875464
24 Sex b,583.3968846
24 Sex c,482.1786502
30 Ari B b,3139.367062
4 UMa b,2266.801556
42 Dra b,1186.101128
47 UMa b,809.1261329
47 UMa c,173.4560433
51 Peg b,146.5589056
55 Cnc b,254.7207974
55 Cnc c,52.29926594
55 Cnc d,1126.504157
55 Cnc e,8.379902375
55 Cnc f,54.94318233
6 Lyn b,702.0187567
61 Vir b,5.108902029
61 Vir c,10.60703406
61 Vir d,22.75341288
7 CMa b,773.0348785
70 Vir b,2371.369577
75 Cet b,877.0785026
81 Cet b,1370.094699
alpha Ari b,545.5703515
alpha Cen B b,1.127101653
BD +14 4559 b,482.8555996
BD +20 2457 b,3778.299222
BD +20 2457 c,2193.541649
BD +48 738 b,402.1651401
BD -08 2823 b,14.60081295
BD -08 2823 c,104.275948
BD -10 3166 b,136.6303147
beta Gem b,876.608134
beta Pic,
CoRoT-1 b,327.2843683
CoRoT-10 b,875.6991785
CoRoT-11 b,746.2747198
CoRoT-12 b,292.1306729
CoRoT-13 b,416.6543994
CoRoT-14 b,2445.484411
CoRoT-16 b,170.9796162
CoRoT-17 b,781.8320423
CoRoT-18 b,1108.073972
CoRoT-19 b,352.1153801
CoRoT-2 b,1040.935213
CoRoT-23 b,980.5595912
CoRoT-3 b,6945.850261
CoRoT-4 b,228.0076756
CoRoT-5 b,147.001942
CoRoT-6 b,938.7158562
CoRoT-7 b,5.021470679
CoRoT-8 b,68.67317776
CoRoT-9 b,268.098652
epsilon CrB b,1922.590275
epsilon Eri b,335.1312604
epsilon Ret b,437.5349508
epsilon Tau b,2439.760534
Fomalhaut b,
gamma Cep b,482.2167882
gamma Leo A b,3296.457457
GJ 1214 b,6.467790514
GJ 163 b,3368.856081
GJ 163 c,2161.152958
GJ 163 d,9343.808376
GJ 176 b,8.262246666
GJ 179 b,261.9581173
GJ 317 b,373.4504093
GJ 328 b,730.9782063
GJ 3470 b,13.98002176
GJ 3634 b,7.051746756
GJ 433 b,5.783817385
GJ 436 b,23.10460024
GJ 504 b,
GJ 581 b,15.85965276
GJ 581 c,5.331564347
GJ 581 d,6.073602571
GJ 581 e,1.949665072
GJ 649 b,103.3987742
GJ 667 C b,5.457197253
GJ 667 C c,4.271709511
GJ 674 b,11.08512559
GJ 676 A b,1556.351124
GJ 832 b,204.7625686
GJ 849 b,264.069373
GJ 86 b,1271.596975
GJ 876 b,618.7571608
GJ 876 c,194.5571594
GJ 876 d,5.853959511
GJ 876 e,12.46762785
HAT-P-1 b,169.1957116
HAT-P-11 b,26.23112115
HAT-P-12 b,66.99701296
HAT-P-13 b,272.3942613
HAT-P-13 c,4535.115918
HAT-P-14 b,710.6474777
HAT-P-15 b,620.2318299
HAT-P-16 b,1335.62431
HAT-P-17 b,168.4930191
HAT-P-18 b,62.67502486
HAT-P-19 b,92.88921447
HAT-P-2 b,2819.239924
HAT-P-20 b,2316.733724
HAT-P-21 b,1296.161021
HAT-P-22 b,683.7411233
HAT-P-23 b,666.1626866
HAT-P-24 b,217.9767477
HAT-P-25 b,180.2595435
HAT-P-26 b,18.63959466
HAT-P-27 b,196.2469903
HAT-P-28 b,199.5357566
HAT-P-29 b,247.5804116
HAT-P-3 b,189.3271692
HAT-P-30 b,225.9955786
HAT-P-31 b,689.3569429
HAT-P-32 b,302.181941
HAT-P-33 b,243.5558998
HAT-P-34 b,1059.600583
HAT-P-35 b,335.0486281
HAT-P-36 b,584.5378462
HAT-P-37 b,372.9959315
HAT-P-38 b,85.0378729
HAT-P-39 b,190.4344423
HAT-P-4 b,213.4160793
HAT-P-40 b,197.1098624
HAT-P-41 b,254.3340146
HAT-P-5 b,335.4903932
HAT-P-6 b,336.748947
HAT-P-7 b,569.400241
HAT-P-8 b,411.0512926
HAT-P-9 b,246.8166983
HATS-1 b,592.7502275
HATS-2 b,428.7822813
HD 100655 b,423.8148077
HD 100777 b,370.2627086
HD 10180 c,13.19110558
HD 10180 d,11.96735272
HD 10180 e,25.35836495
HD 10180 f,23.62178321
HD 10180 g,21.41489644
HD 10180 h,65.4807099
HD 101930 b,95.08659852
HD 102117 b,53.95127669
HD 102195 b,143.9070438
HD 102272 b,1305.9021
HD 102329 b,1423.208211
HD 102365 b,16.20146453
HD 102956 b,302.4015523
HD 103197 b,31.22328914
HD 104067 b,59.09323165
HD 104985 b,1562.831405
HD 106252 b,2211.727115
HD 106270 b,3523.600989
HD 10647 b,293.9921248
HD 10697 b,1981.602463
HD 107148 b,67.43146826
HD 108147 b,81.99636793
HD 108863 b,878.9917586
HD 108874 b,410.0469921
HD 108874 c,326.8330687
HD 109246 b,244.110172
HD 109749 b,87.29468866
HD 111232 b,2174.444048
HD 114386 b,433.406513
HD 114729 b,300.2597862
HD 114762 b,3697.828056
HD 114783 b,351.2032465
HD 11506 b,1504.76631
HD 116029 b,606.2351863
HD 117207 b,578.0766345
HD 117618 b,56.14294004
HD 118203 b,678.9293798
HD 11964 b,193.2661883
HD 11964 c,24.49377664
HD 11977 b,2351.881063
HD 120084 b,1422.928533
HD 121504 b,388.4672441
HD 1237 b,1072.5675
HD 125595 b,13.24545222
HD 125612 b,975.0772547
HD 125612 c,18.45456183
HD 12661 b,743.945124
HD 12661 c,619.3292307
HD 126614 A b,122.5837739
HD 128311 b,463.1223662
HD 128311 c,1032.420906
HD 130322 b,331.5113292
HD 131496 b,712.2746987
HD 131664 b,5825.006418
HD 13189 b,2263.909425
HD 132406 b,1781.346216
HD 132563 B b,474.3317581
HD 134987 b,496.8967375
HD 134987 c,255.8188538
HD 136118 b,3712.384056
HD 136418 b,633.5674149
HD 137388 b,72.40370915
HD 13931 b,597.8861439
HD 139357 b,3202.129487
HD 141937 b,3011.375957
HD 142 b,414.9731495
HD 142022 b,1419.88385
HD 142245 b,600.7941659
HD 142415 b,528.1921392
HD 143361 b,964.5702375
HD 145377 b,1837.618825
HD 145457 b,944.6113543
HD 1461 b,7.628997067
HD 147018 b,676.0308923
HD 147018 c,2095.539718
HD 147513 b,374.9123657
HD 148156 b,269.3851736
HD 148427 b,363.4455423
HD 149026 b,114.8814883
HD 149143 b,422.0954198
HD 1502 b,923.9564527
HD 152581 b,481.0948956
HD 153950 b,871.481752
HD 154345 b,304.1190333
HD 154672 b,1591.110727
HD 154857 b,741.361275
HD 155358 b,260.445628
HD 155358 c,256.4878577
HD 156279 b,3109.77198
HD 156411 b,232.8677272
HD 156668 b,4.150112875
HD 156846 b,3498.398132
HD 158038 b,570.2424551
HD 159868 b,699.2092578
HD 159868 c,232.0061263
HD 16141 b,79.34355268
HD 16175 b,1391.865137
HD 162020 b,4835.198363
HD 163607 b,244.3555264
HD 163607 c,728.5628
HD 16417 b,21.28084139
HD 164509 b,152.6578064
HD 164604 b,854.4499598
HD 164922 b,113.7551463
HD 167042 b,520.2085859
HD 16760 b,4224.450181
HD 168443 b,2446.377476
HD 168443 c,5525.464261
HD 168746 b,77.89780491
HD 1690 b,2074.211045
HD 169830 b,918.3183861
HD 169830 c,1291.628956
HD 170469 b,212.5163405
HD 17092 b,1577.025095
HD 171028 b,631.848027
HD 171238 b,829.1867174
HD 17156 b,1049.668813
HD 173416 b,863.8509752
HD 175167 b,2472.092018
HD 175541 b,167.6895787
