OTHERNAME,RSTAR,MASS,STAR,COMP,star,R,A,texture,,,,,,,day,PER,I
,rsun,mearth,,,,rjupiter,au,,,,,,,,,yrs,deg
,12.0698,5125.873436,11 Com,b,0,,1.17872,textures/earth.jpg,-,-,-,-,-,-,,0.892640557,
,44.65,3523.728116,11 UMi,b,0,,1.53498,textures/earth.jpg,-,-,-,-,-,-,,1.41336352,
,11.38,1488.598979,14 And,b,0,,0.823151,textures/earth.jpg,-,-,-,-,-,-,,0.508813057,
,0.912364,1657.369134,14 Her,b,0,,2.93362,textures/earth.jpg,-,-,-,-,-,-,,4.855408287,
,1.1176,521.2097082,16 Cyg B,b,0,,1.66027,textures/earth.jpg,-,-,-,-,-,-,,2.186220546,
,9,3272.875464,18 Del,b,0,,2.58655,textures/earth.jpg,-,-,-,-,-,-,,2.719565271,
2MASS J10232836-0054079,3.92062,583.3968846,24 Sex,b,0,,1.4118,textures/earth.jpg,-,-,-,-,-,-,,1.246296296,
2MASS J10232836-0054079,3.92062,482.1786502,24 Sex,c,0,,2.24032,textures/earth.jpg,-,-,-,-,-,-,,2.491497429,
2MASS J02365772+2438530,1.02283,3139.367062,30 Ari B,b,0,,0.99475,textures/earth.jpg,-,-,-,-,-,-,,0.917473394,
,34.6101,2266.801556,4 UMa,b,0,,0.876999,textures/earth.jpg,-,-,-,-,-,-,,0.737318937,
,22.04,1186.101128,42 Dra,b,0,,1.16693,textures/earth.jpg,-,-,-,-,-,-,,1.311732328,
,1.11869,809.1261329,47 UMa,b,0,,2.10149,textures/earth.jpg,-,-,-,-,-,-,,2.951466185,
,1.11869,173.4560433,47 UMa,c,0,,3.57197,textures/earth.jpg,-,-,-,-,-,-,,6.546341047,
,1.02451,146.5589056,51 Peg,b,0,,0.0521068,textures/earth.jpg,-,-,-,-,-,-,,0.011583505,
,0.943,254.7207974,55 Cnc,b,0,,0.113377,textures/earth.jpg,-,-,-,-,-,-,,0.040113109,
,0.943,52.29926594,55 Cnc,c,0,,0.237305,textures/earth.jpg,-,-,-,-,-,-,,0.121508413,
,0.943,1126.504157,55 Cnc,d,0,,5.47467,textures/earth.jpg,-,-,-,-,-,-,,13.44039657,
,0.943,8.379902375,55 Cnc,e,0,0.185565,0.0154393,textures/earth.jpg,-,-,-,-,-,-,,0.002016596,83.4
,0.943,54.94318233,55 Cnc,f,0,,0.773567,textures/earth.jpg,-,-,-,-,-,-,,0.715141899,
2MASS J06304711+5809453,5.49553,702.0187567,6 Lyn,b,0,,2.18639,textures/earth.jpg,-,-,-,-,-,-,,2.395051837,
,0.978547,5.108902029,61 Vir,b,0,,0.05006,textures/earth.jpg,-,-,-,-,-,-,,0.011540288,
,0.978547,10.60703406,61 Vir,c,0,,0.216926,textures/earth.jpg,-,-,-,-,-,-,,0.104098048,
